Category,Dataset,Model,G-Mean,Precision,Recall,F2-Score,Time (s)
Synthetic Drift Benchmarks,Synth_Agrawal_0p01_var1,HAT,0.8194,0.9485,0.6719,0.7135,10.2
Synthetic Drift Benchmarks,Synth_Agrawal_0p01_var1,OOB,0.8952,0.7816,0.805,0.8002,65.55
Synthetic Drift Benchmarks,Synth_Agrawal_0p01_var1,UOB,0.8739,0.3137,0.7921,0.607,16.72
Synthetic Drift Benchmarks,Synth_Agrawal_0p01_var1,CSARF-MCC (Aguiar),0.8975,0.9701,0.806,0.8342,47.13
Synthetic Drift Benchmarks,Synth_Agrawal_0p01_var1,SMOTE-Window,0.9042,0.9881,0.8177,0.8469,59.23
Synthetic Drift Benchmarks,Synth_Agrawal_0p02_var3,Dynamic CS-ARF (Proposed),0.9264,0.4866,0.8938,0.7657,106.39
Synthetic Drift Benchmarks,Synth_Agrawal_0p02_var3,ARF (Standard),0.8319,1.0,0.6921,0.7375,42.79
Synthetic Drift Benchmarks,Synth_Agrawal_0p02_var3,HAT,0.9054,0.9935,0.8199,0.8496,10.55
Synthetic Drift Benchmarks,Synth_Agrawal_0p02_var3,OOB,0.8903,0.6749,0.8048,0.775,73.29
Synthetic Drift Benchmarks,Synth_Agrawal_0p02_var3,UOB,0.9454,0.8289,0.901,0.8856,18.88
Synthetic Drift Benchmarks,Synth_Agrawal_0p02_var3,CSARF-MCC (Aguiar),0.8922,0.9969,0.796,0.8294,55.66
Synthetic Drift Benchmarks,Synth_Agrawal_0p02_var3,SMOTE-Window,0.9347,0.9909,0.874,0.8951,63.64
Synthetic Drift Benchmarks,Synth_Hyperplane_0p005_var2,Dynamic CS-ARF (Proposed),0.4043,0.05,0.1667,0.1136,72.66
Synthetic Drift Benchmarks,Synth_Hyperplane_0p005_var2,ARF (Standard),0.0,0.0,0.0,0.0,39.94
Synthetic Drift Benchmarks,Synth_Hyperplane_0p005_var2,HAT,0.0,0.0,0.0,0.0,6.15
Synthetic Drift Benchmarks,Synth_Hyperplane_0p005_var2,OOB,0.1368,0.0118,0.0189,0.0168,40.51
Synthetic Drift Benchmarks,Synth_Hyperplane_0p005_var2,UOB,0.4389,0.0112,0.2093,0.0462,11.96
Synthetic Drift Benchmarks,Synth_Hyperplane_0p005_var2,CSARF-MCC (Aguiar),0.0,0.0,0.0,0.0,44.86
Synthetic Drift Benchmarks,Synth_Hyperplane_0p005_var2,SMOTE-Window,0.0,0.0,0.0,0.0,45.04
Synthetic Drift Benchmarks,Synth_Hyperplane_0p01_var1,Dynamic CS-ARF (Proposed),0.5381,0.0925,0.2991,0.2067,97.34
Synthetic Drift Benchmarks,Synth_Hyperplane_0p01_var1,ARF (Standard),0.0,0.0,0.0,0.0,44.67
Synthetic Drift Benchmarks,Synth_Hyperplane_0p01_var1,HAT,0.0,0.0,0.0,0.0,7.93
Synthetic Drift Benchmarks,Synth_Hyperplane_0p01_var1,OOB,0.2289,0.0318,0.0532,0.0469,52.15
Synthetic Drift Benchmarks,Synth_Hyperplane_0p01_var1,UOB,0.605,0.0344,0.4141,0.1292,14.13
