Delay,Standard ARF (G-Mean),Standard ARF (Recall),Dynamic CS-ARF (G-Mean),Dynamic CS-ARF (Recall)
0,0.8341417027172006,0.6959459459459459,0.9186310546823634,0.8445945945945946
100,0.817800654740229,0.668918918918919,0.9075397656961537,0.8243243243243243
1000,0.802204773440034,0.6438356164383562,0.871562016338951,0.7602739726027398
5000,0.6589399420427129,0.43448275862068964,0.8257761197112075,0.6827586206896552
